Entry,Accession,Trait,Latitude,Longitude,Group,Photoperiod,Value
M. sinensis 'PMS-159',PMS-159,Culm length,34.12948333,111.04395,Yangtze-Qinling Msi,12.5,27.44444444
M. sinensis 'PMS-161',PMS-161,Culm length,35.72196667,112.3247667,Yangtze-Qinling Msi,12.5,8
M. sinensis 'PMS-164',PMS-164,Culm length,37.34001667,114.2810333,Yangtze-Qinling Msi,12.5,7.777777778
M. sinensis 'PMS-204',PMS-204,Culm length,31.70131667,114.8741167,Yangtze-Qinling Msi,12.5,32.61111111
M. sinensis 'PMS-226',PMS-226,Culm length,26.62055,106.75145,Sichuan Msi,12.5,224.7777778
M. sinensis 'PMS-306',PMS-306,Culm length,29.89176667,119.8417167,Yangtze-Qinling Msi,12.5,111.1666667
M. sinensis 'PMS-314',PMS-314,Culm length,26.52793333,119.6324333,Yangtze-Qinling Msi,12.5,24.61111111
M. sinensis 'PMS-347',PMS-347,Culm length,24.16798333,115.8838667,SE China Msi,12.5,151.4444444
M. sinensis 'PMS-359',PMS-359,Culm length,22.91336667,112.3369667,SE China Msi,12.5,231.0555556
M. sinensis 'PMS-375',PMS-375,Culm length,19.63043333,110.2908833,SE China Msi,12.5,189.8333333
M. sinensis 'PMS-382',PMS-382,Culm length,18.90558333,109.5137833,SE China Msi,12.5,215.5
M. sinensis 'PMS-436',PMS-436,Culm length,41.31701667,123.7384,"Korea, N China Msi",12.5,2.277777778
M. sinensis 'PMS-438',PMS-438,Culm length,41.32883333,123.6902667,"Korea, N China Msi",12.5,7.944444444
M. sinensis 'Sugadaira 2.4',UI11-00002.4,Culm length,36,138.12,C Japan Msi,12.5,13.77777778
M. sinensis 'Teshio 3.3',UI11-00003.3,Culm length,44.91666667,141.9833333,N Japan Msi,12.5,12.53333333
